Time (s),X_exact (m),X_predicted (m),Absolute Error (m),Relative Error (%)
40.0,0.49137798600310684,0.4913779474693901,3.853371671747041e-08,7.841970502363281e-06
40.01,0.49500486666878196,0.49500484296459263,2.370418933361762e-08,4.788678037276467e-06
40.02,0.4976419072363702,0.4976418984091836,8.827186592785807e-09,1.7738029021324093e-06
40.03,0.4992838339462759,0.49928384001382126,6.067545355037396e-09,1.2152497121888144e-06
40.04,0.49992736292927126,0.49992738387949354,2.0950222279214614e-08,4.190653249395875e-06
40.050000000000004,0.4995712067742873,0.4995712425653703,3.5791082986236233e-08,7.164360655878854e-06
40.06,0.4982160771039583,0.4982161276644085,5.056045015994215e-08,1.0148297592851896e-05
40.07,0.49586468315276805,0.4958647483815576,6.522878953640898e-08,1.3154554408205964e-05
40.08,0.4925217263506349,0.4925218061174063,7.976677141030564e-08,1.6195584304745626e-05
40.09,0.48819389092277593,0.48819398506809875,9.414532281537547e-08,1.9284412313604242e-05
40.1,0.4828898305246281,0.48288993886031517,1.0833568708790153e-07,2.2434866141248393e-05
40.11,0.47662015093855087,0.4766202732480406,1.2230948975844314e-07,2.56618377375765e-05
40.12,0.46939738886692806,0.46939752490571973,1.3603879167600752e-07,2.8981582535938198e-05
40.13,0.46123598686406786,0.46123613636020194,1.494961340831047e-07,3.241207068414701e-05
40.14,0.45215226445700407,0.4521524271116034,1.6265459934494686e-07,3.597341252736642e-05
40.15,0.44216438551295306,0.4421645610008313,1.7548787822896372e-07,3.9688379249581795e-05
40.160000000000004,0.43129232191870875,0.43129250988902307,1.8797031431372346e-07,4.3583042118044627e-05
40.17,0.4195578136445884,0.41955801372152723,2.0007693884993571e-07,4.768757304551665e-05
40.18,0.40698432527275,0.4069845370562828,2.117835327664075e-07,5.2037270139206424e-05
40.19,0.39359699907683193,0.3935972221435237,2.2306669178462357e-07,5.66738802144881e-05
40.2,0.37942260474677103,0.37942283865063187,2.3390386083566028e-07,6.164731829611711e-05
40.21,0.36448948585932106,0.3644897301326698,2.442733487151294e-07,6.701794103586558e-05
40.22,0.3488275032011964,0.3488277573556332,2.5415443682952343e-07,7.285963248228523e-05
40.230000000000004,0.33246797505840087,0.3324682385857553,2.6352735443824216e-07,7.926398155850989e-05
40.24,0.3154436145909182,0.3154438869642636,2.7237334543350755e-07,8.634612743286431e-05
40.25,0.29778846441808854,0.2977887450928168,2.80674728236896e-07,9.425305603605745e-05
40.26,0.2795378285455271,0.27953811696042746,2.884149003512526e-07,0.00010317562451275884
40.27,0.26072820176958794,0.26072849734799347,2.9557840552918435e-07,0.0001133664879836798
40.28,0.2413971967007345,0.241397498851603,3.0215086849194606e-07,0.00012516751338522344
40.29,0.22158346855137465,0.22158377667054188,3.081191672360539e-07,0.00013905331893683927
40.300000000000004,0.2013266378390237,0.20132695131040088,3.1347137718906737e-07,0.00015570288192052963
40.31,0.18066721115906925,0.18066752935584948,3.181967802301511e-07,0.0001761231482950126
40.32,0.15964650018559323,0.15964682247150386,3.222859106255527e-07,0.00020187471084607986
40.33,0.13830653906225748,0.13830686479285886,3.25730601380414e-07,0.00023551352205681989
40.34,0.11669000034849925,0.11669032887247421,3.285239749684088e-07,0.0002815356705692511
40.35,0.09484010968907867,0.09484044034949364,3.3066041496554455e-07,0.00034865039280276345
40.36,0.07280055937745526,0.072800891513129,3.3213567374179576e-07,0.00045622681553824827
40.37,0.05061542098618292,0.050615753932953,3.3294677007772444e-07,0.0006577970973877956
40.38,0.02832905723860345,0.02832939033071044,3.3309210699036806e-07,0.0011757966535380145
40.39,0.005986033298512425,0.005986365869874749,3.325713623242299e-07,0.005555788712483046
40.4,-0.01636897234524756,-0.016368640959659227,3.3138558833134546e-07,0.0020244739947132807
40.410000000000004,-0.03869125722072658,-0.03869092768354527,3.2953718131362164e-07,0.0008517096754795845
40.42,-0.06093618426274211,-0.060935857232964574,3.2702977753595874e-07,0.0005366758379978066
40.43,-0.08305927107227928,-0.08305894720386305,3.238684162382155e-07,0.00038992446244366977
40.44,-0.10501627886637413,-0.1050159588069582,3.2005941592860854e-07,0.00030477124059581444
40.45,-0.1267633009410628,-0.12676298533064503,3.15610417772616e-07,0.0002489761748310385
40.46,-0.14825685047016407,-0.1482565399399042,3.105302598671589e-07,0.00020945424031495362
40.47,-0.16945394746476922,-0.1694536426356435,3.0482912571905274e-07,0.0001798890673717879
40.480000000000004,-0.19031220471900812,-0.1903119062005824,2.985184257286999e-07,0.00015685721584144115
40.49,-0.2107899125705657,-0.21078962095981582,2.916107498807108e-07,0.0001383418904275549
40.5,-0.23084612230649812,-0.2308458381865638,2.8411993432952976e-07,0.00012307762915432434
40.51,-0.2504407280472521,-0.2504404519863222,2.7606092989351794e-07,0.00011023004606560316
40.52,-0.2695345469455469,-0.26953427949567277,2.6744987413618304e-07,9.92265656358385e-05
40.53,-0.28808939753934015,-0.2880891392353809,2.58303959277395e-07,8.966104323298542e-05
40.54,-0.306068176102583,-0.3060679274610991,2.4864148390202345e-07,8.123728741360153e-05
40.550000000000004,-0.3234349308407898,-0.3234346923590008,2.384817889833357e-07,7.373408566705737e-05
40.56,-0.34015493378311834,-0.34015470593797437,2.278451439741147e-07,6.698275442901205e-05
40.57,-0.35619475022745695,-0.356194533474618,2.1675283895516984e-07,6.0852339574560534e-05
40.58,-0.3715223055992183,-0.3715221003721658,2.0522705246328599e-07,5.523949689434685e-05
40.59,-0.3861069495904969,-0.3861067562996487,1.9329084821606557e-07,5.006147867088869e-05
